plot,composition,treatment,tube,location,date,length_mm,proj_area_mm2,surf_area_mm2,avg_dia_mm,tot_vol_mm3,num_tips
2,bahia,control,1,1_4,2019.05.28,38.2277,13.1859,41.4247,10.5607,5.3,11
2,bahia,control,1,13_16,2019.05.28,25.9676,3.1224,9.8094,5.3084,0.401,10
2,bahia,control,1,17_20,2019.05.28,0.5069,0.0824,0.259,1.6261,0.011,1
2,bahia,control,1,21_24,2019.05.28,124.4095,51.9715,163.2731,12.6151,69.248,39
2,bahia,control,1,25_28,2019.05.28,139.1023,77.1304,242.3123,11.88,125.928,34
2,bahia,control,1,29_32,2019.05.28,63.8918,8.1958,25.7481,4.119,1.433,24
2,bahia,control,1,33_36,2019.05.28,35.6602,14.2824,44.8693,13.5147,4.804,5
2,bahia,control,1,41_44,2019.05.28,2.387,0.5822,1.8292,2.4392,0.112,1
2,bahia,control,1,5_8,2019.05.28,63.7369,20.6758,64.9548,8.6713,8.123,12
2,bahia,control,1,9_12,2019.05.28,27.5094,7.2319,22.7197,7.9892,1.761,8
2,bahia,cut,2,1_4,2019.05.28,49.3591,10.3959,32.6597,7.9232,2.264,10
2,bahia,cut,2,13_16,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,17_20,2019.05.28,41.0936,11.7447,36.897,5.5071,3.532,12
2,bahia,cut,2,21_24,2019.05.28,13.4782,3.1908,10.0242,2.3674,0.63,5
2,bahia,cut,2,25_28,2019.05.28,75.24,10.359,32.5438,3.7943,1.35,22
2,bahia,cut,2,29_32,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,33_36,2019.05.28,7.7319,3.3528,10.5332,4.3363,1.142,1
2,bahia,cut,2,37_40,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,41_44,2019.05.28,0,0,0,0,0,0
2,bahia,cut,2,5_8,2019.05.28,87.9357,40.199,126.2888,16.0196,19.017,18
2,bahia,cut,2,9_12,2019.05.28,83.5403,46.0771,144.7552,16.5493,27.027,19
2,bahia,cut+manure,3,1_4,2019.05.28,25.6549,6.9759,21.9153,2.7191,2.213,4
2,bahia,cut+manure,3,13_16,2019.05.28,73.8292,21.8039,68.499,11.866,7.807,28
2,bahia,cut+manure,3,17_20,2019.05.28,123.0549,37.4815,117.7517,12.2378,12.421,51
2,bahia,cut+manure,3,21_24,2019.05.28,21.6677,14.8529,46.6617,11.2825,10.077,3
2,bahia,cut+manure,3,25_28,2019.05.28,17.2416,9.7121,30.5116,10.309,4.627,2
2,bahia,cut+manure,3,29_32,2019.05.28,24.8219,5.8311,18.3189,5.0354,1.596,8
2,bahia,cut+manure,3,33_36,2019.05.28,128.9333,21.2362,66.7155,6.7966,3.686,47
2,bahia,cut+manure,3,37_40,2019.05.28,20.6158,2.9739,9.3426,3.0285,0.356,2
2,bahia,cut+manure,3,41_44,2019.05.28,111.4074,40.1687,126.1937,12.7819,15.079,17
2,bahia,cut+manure,3,5_8,2019.05.28,8.2654,2.1751,6.8335,5.3996,0.66,3
2,bahia,cut+manure,3,9_12,2019.05.28,26.1312,12.4582,39.1385,10.7853,5.892,6
4,mixed,cut,4,1_4,2019.05.31,81.4556,34.6416,108.8302,16.4489,18.333,15
4,mixed,cut,4,13_16,2019.05.31,32.5385,13.007,40.8626,9.9221,4.414,6
4,mixed,cut,4,17_20,2019.05.31,32.2495,26.8416,84.3256,18.1029,25.908,5
4,mixed,cut,4,21_24,2019.05.31,0,0,0,0,0,0
4,mixed,cut,4,25_28,2019.05.31,9.5755,1.8512,5.8158,5.9569,0.298,3
4,mixed,cut,4,29_32,2019.05.31,10.9931,6.5583,20.6036,5.9659,3.196,3
4,mixed,cut,4,33_36,2019.05.31,0,0,0,0,0,0
4,mixed,cut,4,37_40,2019.05.31,9.5686,3.9509,12.4121,4.129,1.533,5
4,mixed,cut,4,41_44,2019.05.31,82.4866,32.8608,103.2354,14.3461,14.18,24
4,mixed,cut,4,5_8,2019.05.31,93.1213,39.3415,123.5953,16.976,14.328,16
4,mixed,cut,4,9_12,2019.05.31,43.0891,23.8072,74.7925,11.5553,14.133,6
4,mixed,control,5,1_4,2019.05.31,33.9615,37.0237,116.3132,30.9013,36.813,4
4,mixed,control,5,13_16,2019.05.31,29.7713,11.4227,35.8854,7.5789,5.099,9
4,mixed,control,5,17_20,2019.05.31,18.3249,11.57,36.3481,18.7954,7.019,5
4,mixed,control,5,21_24,2019.05.31,0,0,0,0,0,0
4,mixed,control,5,25_28,2019.05.31,13.7397,3.7992,11.9355,4.2179,0.852,2
4,mixed,control,5,29_32,2019.05.31,21.7608,12.6914,39.8714,12.4294,7.873,5
4,mixed,control,5,33_36,2019.05.31,1.1452,0.9016,2.8326,7.8733,0.567,1
4,mixed,control,5,37_40,2019.05.31,0,0,0,0,0,0
4,mixed,control,5,41_44,2019.05.31,0,0,0,0,0,0
4,mixed,control,5,5_8,2019.05.31,106.038,21.3102,66.9479,8.158,4.144,38
4,mixed,control,5,9_12,2019.05.31,125.3625,42.2371,132.6916,13.9986,13.397,34
